*year_2025,year,flood,precipitation,temperature,humidity,month,day,risk_level,is_monsoon_season,temp_humidity_interaction,humidity_precip_interaction,temp_precip_interaction,monsoon_precip_interaction,saturation_risk
San       Santos Ave.,2025,1,40.0,27.405708639469342,92.08054975103035,,,,,25.23532717838899,341.9477574422026,101.77307407177027,,1
"May 12,                 Dionisio     Canaynay       Gutter",2025,1,40.0,25.257483422307978,80.68230096907538,,,,,20.378318792000844,299.61953915618824,93.79548491233004,,0
"13    2025     2336H   MAY                  Avenue       Level    8""    Easterlies   14.47517951255734     121.00117050347",2025,1,40.0,27.711938721824097,82.96162637035276,,,,,22.99027506238082,308.08397829730154,102.91028155158745,,0
Multinational,2025,1,40.0,29.13185917729421,80.37524866691652,,,,,23.41480425504616,298.47927830387385,108.18325849196331,,0
"May 12,                 Sto. Niño     Cor. C-5      Knee",2025,1,40.0,25.684489013107903,86.72762053158162,,,,,22.275546166764,322.06926901781253,95.3812009466512,,1
"14    2025     2336H   MAY                 Extension     Level    19""   Easterlies   14.496244268459511   121.0000922623589",2025,1,40.0,27.481038373789943,86.74495590612888,,,,,23.83841461989044,322.13364518049707,102.05281646893552,,1
Ninoy,2025,1,40.0,30.631376587491562,93.56800953598365,,,,,28.661169366387167,347.4715465499512,113.75182446000899,,1
San        Aquino Ave,2025,1,40.0,27.90932910383444,86.28917995151215,,,,,24.082731213667458,320.4410883267569,103.64330496045716,,1
"May 13,                 Dionisio      corner V.     Knee",2025,1,40.0,28.715215967683115,88.63673906759666,,,,,25.452231049972134,329.1589182851854,106.63602390696953,,1
"15    2025     0028H   MAY                  Medina       Level    19""   Easterlies   14.490847549002241   120.99159601899196",2025,1,40.0,28.732222429569866,79.44875810671059,,,,,22.827393896751005,295.0386888394279,106.69917862878565,,0
                                       (Southbound,2025,1,40.0,24.494140377072597,81.98641652523344,,,,,20.081867953822123,304.46246625729134,90.96075550223092,,0
),2025,1,40.0,28.910898666864828,86.55170148204985,,,,,25.022874709922775,321.41598094947017,107.36270571258804,,1
Dr. A.,2025,1,40.0,27.5822847693371,80.74155983744085,,,,,22.270366961567646,299.83960123445473,102.42880225529393,,0
Santos Ave.,2025,1,40.0,29.346090570805337,79.98082969806516,,,,,23.471246722475776,297.01457503856915,108.97882221071738,,0
infront of,2025,1,40.0,31.04940225599619,88.26391391186797,,,,,27.40541767738207,327.7744052011067,115.30419290573317,,1
San,2025,1,40.0,28.01429125233415,87.5691911314585,,,,,24.531888250879952,325.19450208967487,104.03308946318694,,1
Wilcon,2025,1,40.0,25.95567668067689,92.25759723883093,,,,,23.946083652672044,342.60523604737904,96.3882758937701,,1
Dionisio,2025,1,40.0,29.949263208482193,85.07485523831997,,,,,25.47929231955965,315.9316059919377,111.21874726939451,,1
Depot,2025,1,40.0,28.758088724723386,92.35891860592149,,,,,26.560659757885954,342.9815002459668,106.79523497993688,,1
"May 13,                           (Northbound      Gutter",2025,1,40.0,30.035254593093057,86.65939608321014,,,,,26.028370242429077,321.8159126120739,111.53808247326265,,1
"16    2025     0028H   MAY                    )         Level    8""    Easterlies   14.481072827464267   120.99677015847848",2025,1,40.0,29.899353894332755,75.99773667396495,,,,,22.72283223983189,282.2230720451858,111.03340543450079,,0
Dr. A.,2025,1,40.0,28.487479403301958,86.9710667597113,,,,,24.775864730004756,322.97332413033945,105.79030776291646,,1
Santos Ave.,2025,1,40.0,29.34327003358536,80.08176291909993,,,,,23.498607941007123,297.38939782880635,108.96834794248417,,0
San      infront of,2025,1,40.0,25.961212322354786,83.44964065448234,,,,,21.66453839255226,309.89625451099784,96.40883289807641,,0
Dionisio     PNHS,2025,1,40.0,29.401733793297325,87.06749927302386,,,,,25.599354356735557,323.33143321809905,109.18545732746504,,1
"May 13,                           (Northbound      Gutter",2025,1,40.0,31.561389781962344,84.35494674253854,,,,,26.623593541779336,313.25817391142067,117.20549548066212,,0
"17    2025     0028H   MAY                    )         Level    8""    Easterlies      14.48112178          120.9967255",2025,1,40.0,27.641354043905753,75.8023420539528,,,,,20.952793740705552,281.49746004232435,102.64816026333257,,0
"May 13,                    San                     Gutter",2025,1,40.0,28.427805054914423,85.31483854425124,,,,,24.25313598427473,316.82280129331946,105.56870276964572,,1
Sitio Libjo,2025,1,40.0,29.488060634923986,81.753597380696,,,,,24.10755036685126,303.59787558554314,109.50603827513662,,0
"18    2025     0028H   MAY    Dionisio                  Level    8""    Easterlies   14.47517951255734     121.00117050347",2025,1,40.0,26.49388244261975,85.6035586650948,,,,,22.679706199429248,317.89498426917953,98.38694177746041,,1
"May 13,                                            Chest",2025,1,40.0,25.788316875493038,92.87327447012146,,,,,23.950454313001302,344.8915978156054,95.76677319615027,,1
Sto. Niño,2025,1,40.0,27.94014373017227,96.07221761066367,,,,,26.842715685183308,356.7711037052983,103.75773729607126,,1
"19    2025     0028H   MAY               Halik Alon     Level    45""   Easterlies   14.498917412564106   121.00596926303102",2025,1,40.0,27.65202222333177,85.45978740461176,,,,,23.631359405135328,317.36107933225486,102.68777731645162,,1
Multinational,2025,1,40.0,26.715530323516564,89.02513894752555,,,,,23.783537991078944,330.60126923000064,99.21004715660301,,1
"May 13,                  Sto. Niño   Cor. C-5      Knee",2025,1,40.0,28.71908423702619,88.53893923041628,,,,,25.427572540152678,328.7957315417041,106.65038900394846,,1
"20    2025     0028H   MAY               Extension      Level    19""   Easterlies   14.496244268459511    121.00117050347",2025,1,40.0,29.442641740279424,86.54956166513136,,,,,25.482477368846844,321.4080345851338,109.33737193668398,,1
"May 13,                               Vitalez      Knee",2025,1,40.0,25.098869860947552,93.60749179251486,,,,,23.494422545100466,347.61816675493594,93.20646202146146,,1
Vitalez,2025,1,40.0,30.024685828283697,83.1529816984903,,,,,24.96642151182195,308.7945900986881,111.49883460348704,,0
"21    2025     0028H   MAY               Cmpd. Rd.      Level    19""   Easterlies   14.465833460136432   121.01386660024596",2025,1,40.0,26.381803428061243,83.81806762630947,,,,,22.112717838372404,311.2644346221955,97.97072827973219,,0
"May 13,                                 Gat        Knee",2025,1,40.0,26.728910953081925,82.01301746426341,,,,,21.921186407958494,304.5612507614212,99.25973708879187,,0
Vitalez,2025,1,40.0,27.04925790683613,79.95623629659397,,,,,21.627568568465023,296.92324566984047,100.44936858790729,,0
"22    2025     0028H   MAY               Mendoza        Level    19""   Easterlies   14.50957751280398    121.0081220108555",2025,1,40.0,28.334601905182,90.51507522088517,,,,,25.64708622801385,336.13425495591844,105.22258615627055,,1
23,2025,1,40.0,30.618749042620088,83.97343175009817,,,,,25.71161433003842,311.8413904924652,113.70493116210324,,0
Bagong Ilog,2025,1,40.0,23.095714274250238,84.89712025654573,,,,,19.60759632151842,315.2715743283447,85.76759938943964,,0
"Street,",2025,1,40.0,27.832016232788515,84.27558894608832,,,,,23.455595595753426,312.9634730152479,103.3561980421443,,0
Baclaran,2025,1,40.0,23.777088646044824,85.9940343226264,,,,,20.44687777120109,319.34504376371694,88.2979322235042,,1
"June 7,                              corner        Knee           Southwest",2025,1,40.0,29.225534278936443,90.61495572718891,,,,,26.48270494789268,336.5051684141363,108.5311277327676,,1
"24    2025     0327H   JUNE            Quirino Ave.     Level    19""   Monsoon      14.531476137180539   120.99691340005927",2025,1,40.0,26.72444510846371,83.20851967967656,,,,,22.237015167360383,309.00083439426254,99.2431528529634,,0
Bagong,2025,1,40.0,25.144999818687133,80.82744313496109,,,,,20.32406042973541,300.15853504912235,93.37776894396143,,0
Sikat Street,2025,1,40.0,26.110806503236443,75.92959068339161,,,,,19.82582850203983,281.97000699813475,96.96436166954004,,0
Baclaran,2025,1,40.0,26.638710159322276,81.28247832255857,,,,,21.652603810660338,301.84834101115194,98.92476994069146,,0
"June 7,                              corner        Knee           Southwest",2025,1,40.0,26.59289675234271,84.60784657900831,,,,,22.499677285136205,314.1973356798089,98.75463855225159,,0
"25    2025     2315H   JUNE              Bagong         Level    19""   Monsoon      14.531136514380497   120.99894223560706",2025,1,40.0,30.002823162969616,82.57441879652713,,,,,24.774656849371976,306.64605506712627,111.41764602027295,,0
                                             Lipunan,2025,1,40.0,27.91391892641573,83.32071446503944,,,,,23.258076684681456,309.41747781521605,103.66034959738616,,0
Street,2025,1,40.0,30.680465705532598,84.19188575339768,,,,,25.83046263541236,312.65263517697804,113.93412043754533,,0
Bagong,2025,1,40.0,27.216211806263033,78.46280069314302,,,,,21.354602025771825,291.37726492944336,101.06936392524639,,0
"June 7,                  Baclaran      Pag-Asa       Gutter         Southwest",2025,1,40.0,29.265800772714414,72.15655403564713,,,,,21.117193348528513,267.9585634964192,108.6806602592856,,0
"26    2025     2315H   JUNE                   Street      Level    8""    Monsoon     14.531223277759253   120.99864190727435",2025,1,40.0,27.005730514478945,86.71966011005766,,,,,23.41927771239427,322.039707418802,100.28772647951317,,1
Mactan cor.,2025,1,40.0,26.52866083017829,81.24033013672546,,,,,21.551971639289018,301.69182068557984,98.51609382602281,,0
"June 7,                  Baclaran       Opeña        Gutter         Southwest",2025,1,40.0,28.087254691546676,85.74231184994312,,,,,24.082661507713727,318.4102542205986,104.30404445293726,,1
"27    2025     2315H   JUNE                   Street      Level    8""    Monsoon     14.531105328894384   120.99449365263946",2025,1,40.0,29.120172201657706,80.92920306636488,,,,,23.566723294354702,300.53642788789324,108.13985806569535,,0
"June 7,                                 Bagong       Knee           Southwest",2025,1,40.0,27.497399516939527,86.9688150177598,,,,,23.914162520581513,322.9649621243269,102.11357475311516,,1
Baclaran,2025,1,40.0,31.106971676281102,84.15299914970934,,,,,26.177449610241162,312.508226971752,115.51798109679959,,0
"28    2025     2315H   JUNE               Silang Street   Level    19""   Monsoon     14.531733356578126   120.99811989240779",2025,1,40.0,28.908120503914994,85.2573000072848,,,,,24.646283024490216,316.6091277896818,107.35238880426078,,1
E.,2025,1,40.0,26.109530333781954,90.11329305894432,,,,,23.528157585994894,334.6422079424348,96.95962252230147,,1
"June 7,                  Baclaran     Rodriguez    Gutter           Southwest",2025,1,40.0,30.289038282046626,83.00818954830105,,,,,25.14238230951873,308.25689401426723,112.48052649154579,,0
"29    2025     2315H   JUNE                     St.     Level      8""    Monsoon     14.532359024342465   120.99743904493013",2025,1,40.0,28.691739574293056,81.98521766412179,,,,,23.522985141607133,304.4580142001553,106.54884262824925,,0
"June 7,                                            Gutter           Southwest",2025,1,40.0,29.743072997552993,83.35487963652632,,,,,24.792302697314458,309.5443526417039,110.45304506165996,,0
Baclaran,2025,1,40.0,31.203576183267806,74.35195390028505,,,,,23.200468579023603,276.111339108985,115.87672889546315,,0
"30    2025     2315H   JUNE                4 De Julio   Level      8""    Monsoon     14.528067997127254   120.99802619562334",2025,1,40.0,26.665101903159112,93.90397115123776,,,,,25.039589598590684,348.7191642198437,99.02277758339555,,1
"June 7,                                            Knee             Southwest",2025,1,40.0,30.002176580818393,85.8737972607011,,,,,25.764008290809528,318.8985347691685,111.41524489085735,,1
Sto. Niño,2025,1,40.0,23.178197094589624,86.0672332487686,,,,,19.94883295625976,319.61687325115133,86.07390528703498,,1
"31    2025     2300H   JUNE               Pascor Drive Level       19""   Monsoon     14.508762320423763   120.99688684332286",2025,1,40.0,28.29165201180861,82.15871009245085,,,,,23.244056356746874,305.10229083578275,105.06308863197118,,0
"June 7,                                            Knee             Southwest",2025,1,40.0,30.666674167319744,81.38806669854051,,,,,24.959013225522284,302.24045105476716,113.8829045664812,,0
Sto. Niño,2025,1,40.0,31.29323950873419,75.85875952789303,,,,,23.738663307418282,281.7069703976228,116.20970011632292,,0
"32    2025     2300H   JUNE                 Sitio Libjo Level      19""   Monsoon     14.499879060866066   121.02733352014849",2025,1,40.0,29.281146369921895,86.8825031825113,,,,,25.440192926723185,322.6444369039221,108.73764724042219,,1
"June 7,                                 Kaingin    Knee             Southwest",2025,1,40.0,28.644590343113762,86.72052662943322,,,,,24.840739596392027,322.0429253009503,106.37375056037524,,1
Sto. Niño,2025,1,40.0,26.214339570628375,80.20209737411516,,,,,21.024450148416573,297.83626849961297,97.34883917658694,,0
"33    2025     2300H   JUNE                   Road      Level      19""   Monsoon     14.498589511798034   121.00445236072845",2025,1,40.0,31.481581402401723,87.95844300289593,,,,,27.690708834241804,326.64001696635734,116.90912131163687,,1
"June 7,                                    Gat     Knee             Southwest",2025,1,40.0,29.77954520241269,82.67466427681086,,,,,24.620139019255827,307.0183238825213,110.58848722283805,,0
Vitalez,2025,1,40.0,32.051834565264386,92.24329322926836,,,,,29.56566774339682,342.5521170770256,119.02679752819344,,1
"34    2025     0055H   JUNE                 Mendoza     Level      19""   Monsoon     14.50957751280398    121.0081220108555",2025,1,40.0,25.502220519715006,85.73623829610173,,,,,21.864644555580213,318.3876996407075,94.70433376094707,,1
"June 7,                                 Banana     Waist            Southwest",2025,1,40.0,28.370727874119158,87.03427873465807,,,,,24.692258377012198,323.208066354783,105.3567425453982,,1
Vitalez,2025,1,40.0,28.888596973920443,73.80095715942227,,,,,21.32006107668118,274.06517300327187,107.27988676862955,,0
"35    2025     0055H   JUNE                  Cmpd.      Level      37""   Monsoon     14.468809635724792   121.02286236389642",2025,1,40.0,25.99612803737317,89.00170763552592,,,,,23.136997872379848,330.51425536427257,96.53849492205768,,1
Dr. A.,2025,1,40.0,29.865011893164876,82.7726049083042,,,,,24.720048300147422,307.3820334758304,110.90587393824903,,0
Santos Ave.,2025,1,40.0,28.952454564527724,72.32908640432231,,,,,20.941045878149417,268.59927488133366,107.51702653335579,,0
BF          infront of,2025,1,40.0,29.74664220390843,85.4115569748451,,,,,25.407070254094563,317.1819721555083,110.46629956668181,,1
Homes      Fourth Easte,2025,1,40.0,28.812537225931514,85.29174562385106,,,,,24.5747159585189,316.7370440691827,106.9974334130973,,1
"June 7,                              (Southbound Gutter             Southwest",2025,1,40.0,29.18027532280322,80.943852605607,,,,,23.619639047200153,300.5908300076129,108.36305533750307,,0
"36    2025     2240H   JUNE                      )      Level      8""    Monsoon     14.46081616541042    121.02761652726252",2025,1,40.0,28.58324356135102,79.59972525635197,,,,,22.752183344189326,295.5993162293261,106.1459348652389,,0
"June 7,                    Don          Santos     Knee             Southwest",2025,1,40.0,24.96964918119255,84.37988421486888,,,,,21.06936106794923,313.35078101208086,92.72659171468275,,0
"37    2025     2250H   JUNE    Bosco         Cmpd.      Level      19""   Monsoon     14.510492923295597   121.0068142195289",2025,1,40.0,28.77731327911289,96.39909224423414,,,,,27.741068773344274,357.9849762138398,106.86662674811258,,1
"June 7,                    Don                     Gutter           Southwest",2025,1,40.0,26.244651949019065,93.17732007964263,,,,,24.454063350325658,346.02069309812725,97.46140637825397,,1
"38    2025     2250H   JUNE    Bosco      Guam Street Level        8""    Monsoon      14.4824325212493    121.0325770003681",2025,1,40.0,27.674981430617354,92.13312621760392,,,,,25.49782557216913,342.1430039398362,102.77303798730104,,1
"     June 7,                    Don                 Gutter         Southwest",2025,1,40.0,30.760268614523913,76.68854384906838,,,,,23.589602084540388,284.7884342741288,114.23047429121722,,0
"39    2025     2250H   JUNE    Bosco    Un Spratly  Level    8""    Monsoon     14.485388662633744   121.01826178865267",2025,1,40.0,28.508965645761972,96.49610243263868,,,,,27.510040692020244,358.3452305396846,105.8700984727344,,1
"June 7,                    Don                 Gutter         Southwest",2025,1,40.0,30.569508309117026,90.33261017473438,,,,,27.614234773207716,335.45665785738294,113.52207214962223,,1
"40    2025     2250H   JUNE    Bosco  India Street Level     8""    Monsoon     14.480719527484188   121.03065322310742",2025,1,40.0,27.2661465658586,90.1833830836515,,,,,24.58953340963815,334.90249230034203,101.2548002536381,,1
"June 7,                    Don                 Gutter         Southwest",2025,1,40.0,27.541884447556612,90.37942340856962,,,,,24.892196359556177,335.6305021749056,102.27877274884405,,1
"41    2025     2250H   JUNE    Bosco  UN cor. USA Level      8""    Monsoon     14.486382261907593   121.02471582165202",2025,1,40.0,29.340746089674838,93.91998948963206,,,,,27.556825643602238,348.7786494738598,108.95897509488013,,1
Doña,2025,1,40.0,26.654903815007568,76.09213495565675,,,,,20.28228538321606,282.5736268672213,98.98490624810219,,0
Don,2025,1,40.0,26.301554673153834,82.06530833929838,,,,,21.584451940552835,304.7554366942946,97.67271874512024,,0
"June 7,                            Soledad     Knee           Southwest",2025,1,40.0,24.36794879145214,84.25879658913793,,,,,20.53214040513495,312.9011133875428,90.49213395481766,,0
Bosco,2025,1,40.0,26.86680899332376,86.07205528021832,,,,,23.124814688764296,319.6347802124478,99.7718313990872,,1
"42    2025     2250H   JUNE               Extn.     Level    19""   Monsoon     14.48644546133539    121.02756190232128",2025,1,40.0,28.3701103314437,84.2395042122469,,,,,23.89884028767561,312.82946975562,105.35444925616862,,0
"June 7,                    Don      Russia     Gutter         Southwest",2025,1,40.0,30.911085301010306,80.87100804510715,,,,,24.998106280609978,300.3203164825293,114.790542925346,,0
"43    2025     2250H   JUNE    Bosco      Street    Level    8""    Monsoon     14.483076791479052   121.02645045339663",2025,1,40.0,28.691172884813703,81.95154904338737,,,,,23.51286061782116,304.3329833506715,106.54673818602822,,0
"June 7,                    Don     Levitown    Knee           Southwest",2025,1,40.0,27.264309615272726,74.4465574986077,,,,,20.297339934332438,276.4626563891257,101.24797860525447,,0
"44    2025     2250H   JUNE    Bosco       Ave.     Level    19""   Monsoon     14.482874843867062   121.01882580744203",2025,1,40.0,26.53116930947398,78.77994856121349,,,,,20.901241534692062,292.55501639332465,98.5254092446652,,0
